City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
601,Gandu,BR,66.81,light rain,-13.7439,-39.4867,Pousada Duarte
602,Shimoda,JP,84.56,clear sky,34.6667,138.95,Shimoda Tokyu Hotel
603,Rurrenabaque,BO,69.1,broken clouds,-14.4413,-67.5278,Casa de Campo
605,Burns Lake,CA,74.62,broken clouds,54.2331,-125.7533,Burns Lake Bed and Breakfast
607,Ugoofaaru,MV,83.12,moderate rain,5.6667,73.0,Ungoofaaru Inn
608,Kieta,PG,82.62,moderate rain,-6.2167,155.6333,Uruna Bay Retreat
609,Tecolutla,MX,81.43,clear sky,20.4833,-97.0167,Hotel Plaza Marsol
610,Tooele,US,77.43,clear sky,40.5308,-112.2983,"Holiday Inn Express & Suites Tooele, an IHG Hotel"
612,Wenling,CN,80.98,moderate rain,28.3669,121.36,Hanting Express Wenling Wanchang North Road
613,Ginda,IN,77.27,overcast clouds,30.6945,78.4932,Sunil Bisht
615,Tanete,ID,84.36,overcast clouds,-3.9443,119.7848,Wisma Tri Multi
622,Le Vauclin,MQ,82.45,scattered clouds,14.5452,-60.8388,Hôtel Cap Macabou
623,Buraydah,SA,82.85,clear sky,26.326,43.975,Mövenpick Qassim
626,Perry,US,81.32,clear sky,37.2506,-83.1999,Hampton Inn & Suites Hazard
627,Darhan,MN,80.37,broken clouds,49.4867,105.9228,Buudai Hotel
628,Axim,GH,74.93,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
629,Karratha,AU,72.07,clear sky,-20.7377,116.8463,ibis Styles Karratha
630,Samarai,PG,82.02,light rain,-10.6167,150.6667,Nuli Sapi
