City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
68,Otradnoye,RU,2022-06-27 22:01:14,59.7775,30.8181,68.09,68,45,4.27
69,Antofagasta,CL,2022-06-27 22:05:49,-23.65,-70.4,60.08,77,100,8.1
70,Samfya,ZM,2022-06-27 22:05:50,-11.3649,29.5565,56.23,73,5,11.77
71,Inhambane,MZ,2022-06-27 22:05:51,-23.865,35.3833,66.92,69,83,13.73
72,Bubaque,GW,2022-06-27 22:05:52,11.2833,-15.8333,81.54,84,39,13.65
73,Bratsk,RU,2022-06-27 22:05:53,56.1325,101.6142,61.29,81,96,3.76
74,Narsaq,GL,2022-06-27 22:05:54,60.9167,-46.05,55.62,65,7,1.1
75,Port Hedland,AU,2022-06-27 22:05:55,-20.3167,118.5667,55.45,58,0,11.5
76,Castro,BR,2022-06-27 22:05:56,-24.7911,-50.0119,53.06,92,78,4.07
77,Tuktoyaktuk,CA,2022-06-27 22:05:56,69.4541,-133.0374,51.17,64,99,8.9
78,Lichinga,MZ,2022-06-27 22:05:57,-13.3128,35.2406,53.69,100,75,18.41
79,Magistralnyy,RU,2022-06-27 22:05:58,56.1725,107.4458,62.69,94,89,3.58
80,Sitka,US,2022-06-27 22:06:00,57.0531,-135.33,66.09,59,20,12.66
81,Deputatskiy,RU,2022-06-27 22:06:01,69.3,139.9,32.56,99,100,2.39
82,Lebu,CL,2022-06-27 22:06:02,-37.6167,-73.65,52.2,93,94,7.43
83,Katsuura,JP,2022-06-27 22:06:03,35.1333,140.3,77.49,85,82,6.53
84,Jamestown,US,2022-06-27 22:04:49,42.097,-79.2353,68.02,47,75,16.11
85,Acapulco,MX,2022-06-27 22:06:04,16.8634,-99.8901,85.82,74,40,8.05
86,Conceicao Do Araguaia,BR,2022-06-27 22:01:38,-8.2578,-49.2647,79.52,39,4,3.36
87,Boguchany,RU,2022-06-27 22:06:05,58.3814,97.4531,62.82,89,80,3.91
88,Sinnamary,GF,2022-06-27 22:06:06,5.3833,-52.95,77.54,88,100,5.35
89,Tadine,NC,2022-06-27 22:06:07,-21.55,167.8833,76.08,79,31,9.24
90,Souillac,MU,2022-06-27 22:01:29,-20.5167,57.5167,70.18,78,75,11.5
91,Codrington,AU,2022-06-27 22:06:39,-38.2667,141.9667,41.52,88,100,9.1
92,San Rafael,AR,2022-06-27 22:05:50,-34.6177,-68.3301,51.73,37,61,5.61
93,Srednekolymsk,RU,2022-06-27 22:06:40,67.45,153.6833,53.04,43,100,17.63
94,Malegaon,IN,2022-06-27 22:06:42,20.55,74.5333,76.35,87,99,9.19
95,Sandomierz,PL,2022-06-27 22:06:42,50.6827,21.749,72.66,66,10,3.0
96,Cape Town,ZA,2022-06-27 22:03:23,-33.9258,18.4232,59.38,61,0,1.01
97,Avera,US,2022-06-27 22:06:44,33.194,-82.5271,89.11,59,99,9.6
98,Lagos,NG,2022-06-27 22:04:16,6.5833,3.75,76.06,92,100,2.75
99,Havoysund,NO,2022-06-27 22:06:45,70.9963,24.6622,62.83,66,14,15.14
100,Carnarvon,AU,2022-06-27 22:06:46,-24.8667,113.6333,63.93,47,0,14.92
101,Kununurra,AU,2022-06-27 22:06:47,-15.7667,128.7333,67.98,45,2,8.05
